    The terminal did not allow me to get all the data before here so here is the rest of the data
    I should have exported the results into a file but it took so long to run 
    
    5438461 |             46
    5438462 |             21
    5438463 |             27
    5438464 |             17
    5438465 |             38
    5438466 |             55
    5438467 |             25
    5438468 |             47
    5438469 |             25
    5438470 |             29
    5438471 |             39
    5438472 |             47
    5438473 |             39
    5438474 |             26
    5438475 |             49
    5438476 |             37
    5438477 |             42
    5438478 |             26
    5438479 |             43
    5438480 |             10
    5438481 |             44
    5438482 |             32
    5438483 |             21
    5438484 |             25
    5438485 |             46
    5438486 |             36
    5438487 |             24
    5438488 |             22
    5438489 |             34
    5438490 |             37
    5438491 |             46
    5438492 |             32
    5438493 |             47
    5438494 |             37
    5438495 |             33
    5438496 |             44
    5438497 |             28
    5438498 |             43
    5438499 |             44
    5438500 |             40
    5438501 |             31
    5438502 |             41
    5438503 |             43
    5438504 |             36
    5438505 |             34
    5438506 |             46
    5438507 |             26
    5438508 |             48
    5438509 |             29
    5438510 |             36
    5438511 |             32
    5438512 |             19
    5438513 |             34
    5438514 |             40
    5438515 |             25
    5438516 |             38
    5438517 |             19
    5438518 |             30
    5438519 |             42
    5438520 |             43
    5438521 |             35
    5438522 |             29
    5438523 |             23
    5438524 |             49
    5438525 |             27
    5438526 |             31
    5438527 |             36
    5438528 |             35
    5438529 |             31
    5438530 |             41
    5438531 |             42
    5438532 |             29
    5438533 |             36
    5438534 |              7
    5438535 |             28
    5438536 |             36
    5438537 |             35
    5438538 |             18
    5438539 |             39
    5438540 |             32
    5438541 |             43
    5438542 |             42
    5438543 |             16
    5438544 |             21
    5438545 |             17
    5438546 |             38
    5438547 |             44
    5438548 |             53
    5438549 |             35
    5438550 |             47
    5438551 |             32
    5438552 |             17
    5438553 |             43
    5438554 |             50
    5438555 |             34
    5438556 |             48
    5438557 |             51
    5438558 |             23
    5438559 |             48
    5438560 |             44
    5438561 |             37
    5438562 |             43
    5438563 |             30
    5438564 |             32
    5438565 |             45
    5438566 |             31
    5438567 |             42
    5438568 |             38
    5438569 |             31
    5438570 |             30
    5438571 |             43
    5438572 |             44
    5438573 |             38
    5438574 |             23
    5438575 |             30
    5438576 |             27
    5438577 |             40
    5438578 |             29
    5438579 |             30
    5438580 |              6
    5438581 |             49
    5438582 |             36
    5438583 |             38
    5438584 |             39
    5438585 |             45
    5438586 |             44
    5438587 |             36
    5438588 |             50
    5438589 |             33
    5438590 |             33
    5438591 |             41
    5438592 |             31
    5438593 |             45
    5438594 |             32
    5438595 |             31
    5438596 |             32
    5438597 |             44
    5438598 |             47
    5438599 |             22
    5438600 |             32
    5438601 |              8
    5438602 |             34
    5438603 |             26
    5438604 |             40
    5438605 |             35
    5438606 |             31
    5438607 |             30
    5438608 |             43
    5438609 |             29
    5438610 |             46
    5438611 |             11
    5438612 |             43
    5438613 |             42
    5438614 |             28
    5438615 |             48
    5438616 |             43
    5438617 |             54
    5438618 |             25
    5438619 |             17
    5438620 |             40
    5438621 |             41
    5438622 |             33
    5438623 |             34
    5438624 |             34
    5438625 |             21
    5438626 |             45
    5438627 |             33
    5438628 |             23
    5438629 |             44
    5438630 |             42
    5438631 |             38
    5438632 |             34
    5438633 |             26
    5438634 |             44
    5438635 |             34
    5438636 |             28
    5438637 |             35
    5438638 |             40
    5438639 |             48
    5438640 |             43
    5438641 |             51
    5438642 |             50
    5438643 |             21
    5438644 |             38
    5438645 |             43
    5438646 |             38
    5438647 |             29
    5438648 |             39
    5438649 |             29
    5438650 |             33
    5438651 |             50
    5438652 |             44
    5438653 |             26
    5438654 |             33
    5438655 |             55
    5438656 |             25
    5438657 |             45
    5438658 |             37
    5438659 |             33
    5438660 |             36
    5438661 |             39
